provisi,Negara,Tanggal,kasus,kematian,pulih,terjangkit
,Indonesia,2020-10-15,349160,12268,273661,63231
,Indonesia,2021-12-31,4262720,144094,,
,Indonesia,2020-08-01,109936,5193,67919,36824
,Indonesia,2022-07-26,6178873,156929,,
,Indonesia,2022-04-28,6046072,156217,,
,Indonesia,2021-11-24,4254443,143766,,
,Indonesia,2022-01-29,4330763,144285,,
,Indonesia,2021-05-10,1718575,47218,1574615,96742
,Indonesia,2021-01-02,758473,22555,625518,110400
,Indonesia,2021-09-02,4100138,133676,,
,Indonesia,2021-09-10,4158731,138431,,
,Indonesia,2021-06-19,1976172,54291,1786143,135738
,Indonesia,2021-07-22,3033339,79032,2392923,561384
,Indonesia,2021-03-22,1465928,39711,1297967,128250
,Indonesia,2022-03-09,5826589,151135,,
,Indonesia,2020-12-13,617820,18819,505836,93165
,Indonesia,2020-10-18,361867,12511,285324,64032
,Indonesia,2022-02-24,5408328,147342,,
,Indonesia,2021-10-29,4243215,143361,,
,Indonesia,2022-03-02,5630096,149036,,
,Indonesia,2021-09-17,4185144,140138,,
,Indonesia,2022-10-26,6478720,158499,,
,Indonesia,2021-11-07,4248165,143545,,
,Indonesia,2022-08-19,6306686,157343,,
,Indonesia,2022-07-09,6108729,156785,,
,Indonesia,2020-03-21,450,38,15,
,Indonesia,2022-01-14,4269740,144163,,
,Indonesia,2022-09-14,6400035,157828,,
,Indonesia,2022-01-31,4353370,144320,,
,Indonesia,2021-01-17,907929,25987,736460,145482
,Indonesia,2021-05-25,1786187,49627,1642074,94486
,Indonesia,2022-01-15,4270794,144167,,
,Indonesia,2021-08-07,3639616,105598,,
,Indonesia,2020-04-06,2491,209,192,2090
,Indonesia,2020-06-06,30514,1801,9907,18806
,Indonesia,2021-10-13,4231046,142811,,
,Indonesia,2020-10-05,307120,11253,232593,63274
,Indonesia,2021-07-23,3082410,80598,2431911,569901
,Indonesia,2022-05-07,6048204,156371,,
,Indonesia,2022-08-03,6222788,157046,,
,Indonesia,2021-12-01,4256687,143840,,
,Indonesia,2021-03-31,1511712,40858,1348330,122524
,Indonesia,2020-05-01,10551,800,1591,8160
,Indonesia,2021-09-27,4209403,141585,,
,Indonesia,2021-07-13,2615529,68219,2139601,407709
,Indonesia,2021-06-05,1850206,51449,1701784,96973
,Indonesia,2021-01-06,788402,23296,652513,112593
,Indonesia,2022-05-25,6053424,156553,,
,Indonesia,2021-01-23,977474,27664,791059,158751
,Indonesia,2020-10-24,385980,13205,309219,63556
,Indonesia,2020-12-24,692838,20589,563980,108269
,Indonesia,2021-01-15,882418,25484,718696,138238
,Indonesia,2021-02-01,1089308,30277,883682,175349
,Indonesia,2020-11-24,506302,16111,425313,64878
,Indonesia,2020-09-08,200035,8230,142958,48847
,Indonesia,2020-07-08,68079,3359,31585,33135
,Indonesia,2020-08-08,123503,5658,79306,38539
,Indonesia,2020-06-08,32033,1883,10904,19246
,Indonesia,2021-10-03,4219284,142173,,
,Indonesia,2021-04-13,1577526,42782,1426145,108599
,Indonesia,2022-11-23,6627538,159524,,
,Indonesia,2020-06-03,28233,1698,8406,18129
,Indonesia,2020-04-08,2956,240,222,2494
,Indonesia,2020-05-08,13112,943,2494,9675
,Indonesia,2020-07-03,60695,3036,27568,30091
,Indonesia,2021-12-21,4260893,144024,,
,Indonesia,2022-12-01,6669821,159884,,
,Indonesia,2022-08-23,6323715,157420,,
,Indonesia,2021-06-08,1869325,51992,1717370,99963
,Indonesia,2021-03-25,1482559,40081,1317199,125279
,Indonesia,2022-03-31,6012818,155089,,
,Indonesia,2021-06-25,2072867,56371,1835061,181435
,Indonesia,2021-03-09,1392945,37757,1210877,144311
,Indonesia,2022-10-28,6484764,158544,,
,Indonesia,2020-06-15,39294,2198,15123,21973
,Indonesia,2022-03-13,5890495,152166,,
,Indonesia,2021-06-09,1877050,52162,1723253,101635
,Indonesia,2021-06-15,1927708,53280,1757641,83700
,Indonesia,2020-04-15,5136,469,446,4221
,Indonesia,2022-03-07,5770105,150430,,
,Indonesia,2021-09-23,4201559,141114,,
,Indonesia,2022-03-21,5967182,153892,,
,Indonesia,2020-03-04,2,0,0,
,Indonesia,2021-12-05,4257685,143867,,
,Indonesia,2021-09-15,4178164,139682,,
,Indonesia,2020-04-24,8211,689,1002,6520
,Indonesia,2022-06-21,6070933,156700,,
,Indonesia,2021-12-04,4257489,143863,,
,Indonesia,2020-06-09,33076,1923,11414,19739
,Indonesia,2021-05-24,1781127,49455,1638279,93393
,Indonesia,2021-07-24,3127826,82013,2471678,574135
,Indonesia,2020-04-22,7418,635,913,5870
,Indonesia,2022-01-16,4271649,144170,,
,Indonesia,2022-03-04,5693702,149596,,
,Indonesia,2020-07-22,91751,4459,50255,37037
,Indonesia,2020-05-27,23851,1473,6057,16321
,Indonesia,2021-08-06,3607863,104010,,
,Indonesia,2022-09-12,6394340,157787,,
,Indonesia,2020-03-07,4,0,0,
,Indonesia,2020-03-30,1414,122,75,1217
,Indonesia,2020-11-27,522581,16521,437456,68604
,Indonesia,2022-01-04,4263732,144105,,
,Indonesia,2021-12-19,4260544,144002,,
,Indonesia,2021-11-22,4253598,143744,,
,Indonesia,2020-06-30,56385,2876,24806,28703
,Indonesia,2021-01-01,751270,22329,617936,111005
,Indonesia,2022-06-02,6055645,156600,,
,Indonesia,2021-06-18,1963266,54043,1779127,130096
,Indonesia,2020-12-10,598933,18336,491975,88622
,Indonesia,2022-02-26,5504418,147844,,
,Indonesia,2022-07-24,6168342,156902,,
,Indonesia,2020-04-12,4241,373,359,3509
,Indonesia,2021-09-12,4167511,138889,,
,Indonesia,2020-03-17,172,5,8,
,Indonesia,2020-08-17,141370,6207,94458,40705
,Indonesia,2022-11-09,6537907,158952,,
,Indonesia,2021-07-12,2567630,67355,2119478,380797
,Indonesia,2020-07-12,75699,3606,35638,36455
,Indonesia,2020-05-17,17514,1148,4129,12237
,Indonesia,2021-03-08,1386556,37547,1203381,145628
,Indonesia,2021-05-08,1709762,46842,1563917,99003
,Indonesia,2021-06-03,1837126,51095,1691593,94438
,Indonesia,2020-06-20,45029,2429,17883,24717
,Indonesia,2021-01-04,772103,22911,639103,110089
,Indonesia,2022-01-01,4262994,144096,,
,Indonesia,2022-06-18,6066908,156684,,
,Indonesia,2022-01-19,4275528,144192,,
,Indonesia,2021-11-09,4248843,143578,,
,Indonesia,2020-08-14,135123,6021,89618,39484
,Indonesia,2021-03-20,1455788,39447,1284725,131616
,Indonesia,2021-01-16,896642,25767,727358,143517
,Indonesia,2021-01-22,965283,27453,781147,156683
,Indonesia,2020-08-15,137468,6071,91321,40076
,Indonesia,2021-10-12,4229813,142763,,
,Indonesia,2022-10-19,6462655,158361,,
,Indonesia,2021-12-20,4260677,144013,,
,Indonesia,2021-09-24,4204116,141258,,
,Indonesia,2021-09-16,4181309,139919,,
,Indonesia,2022-08-30,6354245,157541,,
,Indonesia,2021-10-04,4220206,142261,,
,Indonesia,2022-09-04,6372542,157647,,
,Indonesia,2021-03-16,1430458,38753,1257663,134042
,Indonesia,2022-08-22,6318857,157396,,
,Indonesia,2020-12-17,643508,19390,526979,97139
,Indonesia,2020-03-20,369,32,15,
,Indonesia,2021-03-24,1476452,39983,1312543,123926
,Indonesia,2020-07-27,100303,4838,58173,37292
,Indonesia,2020-05-22,20796,1326,5057,14413
,Indonesia,2020-06-27,52812,2720,21909,28183
,Indonesia,2020-06-22,46845,2500,18735,25610
,Indonesia,2021-06-06,1856038,51612,1705971,98455
,Indonesia,2022-03-16,5927550,152975,,
,Indonesia,2020-03-27,1046,87,46,913
,Indonesia,2022-01-12,4268097,144150,,
,Indonesia,2020-10-27,396454,13512,322248,60694
,Indonesia,2022-11-25,6640624,159600,,
,Indonesia,2021-07-01,2203108,58995,1890287,253826
,Indonesia,2021-08-18,3908247,121141,,
,Indonesia,2022-05-24,6053109,156548,,
,Indonesia,2022-03-24,5986830,154343,,
,Indonesia,2020-11-10,444348,14761,375741,53846
,Indonesia,2021-11-29,4256112,143819,,
,Indonesia,2022-04-02,6015748,155164,,
,Indonesia,2020-05-12,14749,1007,3063,10679
,Indonesia,2020-10-10,328952,11765,251481,65706
,Indonesia,2020-07-17,83130,3957,41834,37339
,Indonesia,2020-06-12,36406,2048,13213,21145
,Indonesia,2020-06-17,41431,2276,16243,22912
,Indonesia,2022-06-14,6056017,156604,,
,Indonesia,2020-09-12,214746,8650,152458,53638
,Indonesia,2022-08-14,6282774,157226,,
,Indonesia,2020-09-03,184268,7750,132055,44463
,Indonesia,2022-03-14,5900124,152437,,
,Indonesia,2020-10-08,320564,11580,244060,64924
,Indonesia,2020-08-03,113134,5302,70237,37595
,Indonesia,2022-03-06,5748725,150172,,
,Indonesia,2021-06-16,1937652,53476,1763870,83700
,Indonesia,2020-05-03,11192,845,1876,8471
,Indonesia,2021-06-24,2053995,55949,1826504,171542
,Indonesia,2020-04-03,1986,181,134,1671
,Indonesia,2020-12-08,586842,18000,483497,85345
,Indonesia,2020-11-08,437716,14614,368298,54804
,Indonesia,2022-03-22,5974646,154062,,
,Indonesia,2020-03-31,1528,136,81,1311
,Indonesia,2021-03-18,1443853,39142,1272958,131753
,Indonesia,2020-03-11,34,1,2,
,Indonesia,2022-06-04,6056017,156604,,
,Indonesia,2020-05-31,26473,1613,7308,17552
,Indonesia,2021-09-14,4174216,139415,,
,Indonesia,2022-03-30,6009486,155000,,
,Indonesia,2022-06-12,6056017,156604,,
,Indonesia,2021-10-10,4227932,142651,,
,Indonesia,2020-03-16,134,5,8,
,Indonesia,2020-08-31,174796,7417,125959,41420
,Indonesia,2022-10-29,6487905,158571,,
,Indonesia,2021-09-06,4133433,136473,,
,Indonesia,2020-07-31,108376,5131,65907,37338
,Indonesia,2021-09-30,4215104,141939,,
,Indonesia,2021-12-14,4259439,143960,,
,Indonesia,2021-12-06,4257815,143876,,
,Indonesia,2022-06-20,6069255,156695,,
,Indonesia,2021-01-14,869600,25246,711205,133149
,Indonesia,2021-01-30,1066313,29728,862502,174083
,Indonesia,2021-03-26,1487541,40166,1322878,124497
,Indonesia,2021-12-30,4262540,144088,,
,Indonesia,2021-04-04,1534255,41669,1375877,116709
,Indonesia,2022-09-10,6390553,157757,,
,Indonesia,2022-05-18,6051532,156498,,
,Indonesia,2022-01-10,4266649,144136,,
,Indonesia,2021-07-03,2256851,60027,1915147,281677
,Indonesia,2021-07-11,2527203,66464,2084724,376015
,Indonesia,2022-11-15,6573805,159199,,
,Indonesia,2021-08-28,4066404,131372,,
,Indonesia,2022-01-03,4263433,144102,,
,Indonesia,2022-08-08,6249403,157113,,
,Indonesia,2020-04-28,9511,773,1254,7484
,Indonesia,2022-07-06,6100671,156770,,
,Indonesia,2021-05-30,1816041,50404,1663998,101639
,Indonesia,2020-04-23,7775,647,960,6168
,Indonesia,2022-06-27,6081896,156726,,
,Indonesia,2022-09-18,6408806,157892,,
,Indonesia,2020-03-23,579,49,30,500
,Indonesia,2020-04-11,3842,327,286,3229
,Indonesia,2020-07-11,74018,3535,34719,35764
,Indonesia,2021-03-03,1353834,36721,1169916,147197
,Indonesia,2020-05-11,14265,991,2881,10393
,Indonesia,2022-10-30,6490622,158597,,
,Indonesia,2020-06-11,35295,2000,12636,20659
,Indonesia,2022-09-25,6422529,158014,,
,Indonesia,2020-09-11,210940,8544,150217,52179
,Indonesia,2021-03-11,1403722,38049,1224603,141070
,Indonesia,2020-08-11,128776,5824,83710,39242
,Indonesia,2021-10-18,4235384,142999,,
,Indonesia,2022-10-21,6467189,158398,,
,Indonesia,2021-04-28,1657035,45116,1511417,100502
,Indonesia,2020-08-16,139549,6150,93103,40296
,Indonesia,2022-05-03,6047315,156305,,
,Indonesia,2020-09-16,228993,9100,164101,55792
,Indonesia,2021-06-01,1826527,50723,1674479,76634
,Indonesia,2021-08-13,3804943,115096,,
,Indonesia,2021-07-18,2877476,73582,2261658,542236
,Indonesia,2022-10-13,6452078,158263,,
,Indonesia,2022-02-05,4480423,144497,,
,Indonesia,2021-02-08,1166079,31763,963028,171288
,Indonesia,2022-04-23,6043768,156067,,
,Indonesia,2022-07-05,6097928,156766,,
,Indonesia,2021-02-17,1243646,33788,1047676,162182
,Indonesia,2020-12-23,685639,20408,558703,106528
,Indonesia,2021-05-07,1703632,46663,1558423,98546
,Indonesia,2022-02-13,4807778,145176,,
,Indonesia,2020-10-23,381910,13077,305100,63733
,Indonesia,2022-01-25,4294183,144247,,
,Indonesia,2020-07-16,81668,3873,40345,37450
,Indonesia,2021-02-23,1298608,35014,1104990,158604
,Indonesia,2020-05-16,17025,1089,3911,12025
,Indonesia,2021-07-27,3239936,86835,2596820,556281
,Indonesia,2021-05-31,1821703,50578,1669119,102006
,Indonesia,2020-10-29,404048,13701,329778,60569
